F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,1023,1023,1019,796,1022,1022,704,639,658, 3.79,136.66,4.13,72.41
1022,1022,1023,1023,853,1023,1022,596,666,660, 26.97,63.92,30.16,64.33
1019,1022,1023,1023,843,1023,1023,592,742,706, 5.24,64.20,5.39,65.35
1021,1023,976,1023,839,1023,1023,591,725,714, 31.81,48.33,32.20,46.55
1022,1023,1023,1023,676,1020,1021,602,676,684, 4.20,17.07,4.07,16.73
1023,1023,1023,1023,678,1023,1023,596,736,679, 11.65,56.18,11.89,55.58
1023,1015,1020,1021,682,1022,1022,595,713,704, 6.76,4.58,6.72,6.02
1018,1021,1019,1022,666,1022,1022,635,688,675, 5.92,35.27,5.35,37.23
1022,1023,1016,1021,689,1022,1023,595,713,704, 15.05,115.60,14.78,112.02
1022,1022,1017,1023,679,1022,1023,629,693,689, 2.08,25.70,5.28,24.61
1023,1018,1021,1022,696,1022,1023,596,691,684, 15.58,120.54,16.12,119.87
1022,1022,1017,1023,677,1023,1023,600,675,683, 1.38,9.24,0.55,16.07
1022,1022,1023,1023,668,1023,1023,594,656,677, 1.98,126.80,3.13,77.80
1023,1023,1023,1023,672,1022,1022,615,681,676, 55.48,267.16,54.72,272.92
1022,1023,1022,1022,720,1022,1023,593,727,715, 0.99,1.52,7.86,3.30
1022,1022,1022,1022,714,1022,1023,589,706,694, 4.32,8.20,4.32,8.43
1019,1022,1022,1022,672,1023,1023,599,639,672, 21.74,14.59,21.55,8.55
1023,1023,1023,1023,682,1022,1022,593,699,671, 7.02,32.43,7.57,10.44
1022,1023,1023,1023,687,1023,1020,592,682,704, 12.82,119.85,12.56,116.47
1023,1023,1023,1023,668,1022,1022,601,685,672, 2.55,2.15,2.19,8.86
1023,1023,1020,1022,663,1022,1022,589,697,705, 4.07,3.91,4.27,8.48
1023,1023,1019,1023,662,1022,1023,596,662,677, 1.56,55.10,1.74,54.87
1023,1023,1023,1023,666,1021,1022,599,658,675, 20.35,46.69,20.50,47.51
1022,1022,1023,1023,666,1023,1023,595,657,668, 8.06,33.12,8.44,34.25
1023,1023,1022,1022,665,1023,1023,598,662,677, 12.78,8.14,11.88,8.12
1023,1023,1023,1020,682,1022,1022,598,657,675, 0.27,104.77,0.48,106.60
1023,1022,1023,1023,665,1023,1023,615,661,663, 8.45,151.25,7.85,146.53
1023,1023,1020,1021,668,1022,1023,593,684,701, 31.91,20.80,31.64,14.48
1022,1023,1023,1023,664,1023,1023,604,649,660, 25.98,19.39,25.78,16.28
1023,1022,1022,1022,668,1023,1023,604,646,659, 1.59,22.98,1.00,23.18
