F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,1022,1021,1023,720,1021,1022,776,1022,601, 15.76,231.96,14.98,232.08
1022,1023,1023,1017,715,1021,1022,1020,1022,620, 6.79,86.11,6.32,86.30
1022,1022,1021,1022,715,1021,1022,763,1023,606, 1.86,12.89,1.74,14.91
1022,1023,1019,1021,715,1022,1022,763,1022,603, 3.70,46.87,4.82,46.45
1022,1022,1022,1022,717,1023,1022,751,1022,582, 7.37,0.98,8.17,154.04
1022,1021,1021,1021,677,1022,1022,706,1022,579, 4.39,95.32,4.50,96.57
1023,1019,1023,1022,674,1020,1020,752,1020,579, 0.84,105.37,1.98,108.41
1020,1021,1022,1021,673,648,1021,751,1021,582, 0.22,4.49,0.28,5.75
1020,1021,1022,1022,686,1022,1020,751,1022,583, 3.15,162.88,1.10,156.73
1020,1022,1022,1022,682,1023,1022,755,1021,588, 4.24,89.34,4.03,90.23
1020,1021,1022,1022,680,1022,1021,748,1022,574, 8.57,53.57,8.58,53.12
1020,1022,1023,1023,672,1021,1020,749,1021,597, 11.89,89.89,11.86,90.48
1019,1021,1022,1022,680,1022,1021,756,1022,587, 27.34,32.38,26.89,31.56
1020,1022,1022,1022,686,1023,1022,739,1021,587, 3.67,25.59,3.31,25.54
1019,1021,1022,1022,683,1022,1021,745,1022,572, 15.49,21.78,15.51,21.86
1021,1022,1022,1022,682,1023,1023,748,1021,565, 8.25,198.76,8.09,197.75
1020,1023,1023,1022,678,1022,1021,751,1021,574, 10.16,3.14,10.43,0.74
1021,1022,1022,1022,678,1022,1023,753,1021,566, 15.36,15.95,15.39,15.74
1021,1023,1023,1020,674,1022,1021,748,1021,585, 25.36,94.76,25.38,93.93
1021,1021,1022,1022,672,1022,1020,655,627,609, 25.89,10.60,24.08,12.91
1022,1022,1023,1023,682,1021,1020,771,1021,597, 32.22,29.34,32.33,31.39
1021,1021,1022,1022,680,1022,1021,751,1022,577, 7.77,26.57,7.80,37.74
1022,1022,1023,1023,676,699,1021,748,1021,584, 5.35,23.34,6.06,21.67
1021,1022,1022,1022,705,1023,1023,732,1021,589, 1.39,15.93,1.03,11.08
1020,1022,1022,1021,672,1022,1020,718,1022,571, 56.68,170.82,56.58,165.72
1020,1021,1022,1022,671,1022,1021,744,1023,587, 5.70,62.19,5.55,46.82
1021,1023,1020,1020,693,1022,1021,707,1021,607, 9.98,106.14,10.02,107.45
1020,1021,1021,1021,714,1022,1021,745,1022,571, 9.74,18.29,9.92,16.06
1020,1022,1023,1022,832,1021,1020,737,1021,574, 2.68,45.67,2.89,45.83
1020,1021,1021,1021,677,1021,1021,733,1018,590, 5.74,15.25,5.19,17.32
