F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4,Actions
1022,1023,1023,1019,796,1022,1022,704,639,658,3.79,136.66,4.13,72.41,1
1022,1022,1023,1023,853,1023,1022,596,666,660,26.97,63.92,30.16,64.33,1
1019,1022,1023,1023,843,1023,1023,592,742,706,5.24,64.2,5.39,65.35,1
1021,1023,976,1023,839,1023,1023,591,725,714,31.81,48.33,32.2,46.55,1
1022,1023,1023,1023,676,1020,1021,602,676,684,4.2,17.07,4.07,16.73,1
1023,1023,1023,1023,678,1023,1023,596,736,679,11.65,56.18,11.89,55.58,1
1023,1015,1020,1021,682,1022,1022,595,713,704,6.76,4.58,6.72,6.02,1
1018,1021,1019,1022,666,1022,1022,635,688,675,5.92,35.27,5.35,37.23,1
1022,1023,1016,1021,689,1022,1023,595,713,704,15.05,115.6,14.78,112.02,1
1022,1022,1017,1023,679,1022,1023,629,693,689,2.08,25.7,5.28,24.61,1
1023,1018,1021,1022,696,1022,1023,596,691,684,15.58,120.54,16.12,119.87,1
1022,1022,1017,1023,677,1023,1023,600,675,683,1.38,9.24,0.55,16.07,1
1022,1022,1023,1023,668,1023,1023,594,656,677,1.98,126.8,3.13,77.8,1
1023,1023,1023,1023,672,1022,1022,615,681,676,55.48,267.16,54.72,272.92,1
1022,1023,1022,1022,720,1022,1023,593,727,715,0.99,1.52,7.86,3.3,1
1022,1022,1022,1022,714,1022,1023,589,706,694,4.32,8.2,4.32,8.43,1
1019,1022,1022,1022,672,1023,1023,599,639,672,21.74,14.59,21.55,8.55,1
1023,1023,1023,1023,682,1022,1022,593,699,671,7.02,32.43,7.57,10.44,1
1022,1023,1023,1023,687,1023,1020,592,682,704,12.82,119.85,12.56,116.47,1
1023,1023,1023,1023,668,1022,1022,601,685,672,2.55,2.15,2.19,8.86,1
1023,1023,1020,1022,663,1022,1022,589,697,705,4.07,3.91,4.27,8.48,1
1023,1023,1019,1023,662,1022,1023,596,662,677,1.56,55.1,1.74,54.87,1
1023,1023,1023,1023,666,1021,1022,599,658,675,20.35,46.69,20.5,47.51,1
1022,1022,1023,1023,666,1023,1023,595,657,668,8.06,33.12,8.44,34.25,1
1023,1023,1022,1022,665,1023,1023,598,662,677,12.78,8.14,11.88,8.12,1
1023,1023,1023,1020,682,1022,1022,598,657,675,0.27,104.77,0.48,106.6,1
1023,1022,1023,1023,665,1023,1023,615,661,663,8.45,151.25,7.85,146.53,1
1023,1023,1020,1021,668,1022,1023,593,684,701,31.91,20.8,31.64,14.48,1
1022,1023,1023,1023,664,1023,1023,604,649,660,25.98,19.39,25.78,16.28,1
1023,1022,1022,1022,668,1023,1023,604,646,659,1.59,22.98,1,23.18,1
1022,741,1023,1023,690,1022,1022,604,572,635,34.96,127.25,44.92,126.4,2
1022,656,1022,1022,655,1023,1023,588,558,611,2.93,69.47,2.98,68.96,2
1022,1022,1023,1023,680,1023,1023,598,578,633,31.46,107.69,30.47,101.23,2
1022,651,1022,1023,663,1023,1023,596,563,623,20.6,15.59,20.41,16.46,2
1017,644,1022,1022,675,1023,1023,601,564,639,10.06,54.29,10.77,46.83,2
1022,1022,1023,1023,658,1022,1022,590,551,619,8.31,78.16,8.39,53.97,2
1022,1022,1022,1022,653,1023,1019,592,551,614,13.62,77.53,13.81,73.11,2
1018,1021,1022,1022,655,1023,1022,597,561,623,4.26,182.05,1.59,178.55,2
1022,1022,1022,1023,655,1023,1023,599,562,629,14.6,80.18,15.4,43.18,2
1020,656,1022,1022,654,1023,1023,593,552,619,10.14,18.06,11.51,27.68,2
1022,685,1022,1023,654,1020,1022,598,552,618,1.34,47.83,1.94,51.12,2
1022,619,1022,1023,659,1023,1019,597,556,622,89.15,117.95,136.64,129.16,2
1023,679,1023,1019,660,1022,1022,598,552,618,9.33,15.96,10.26,16.01,2
1022,1022,1022,1023,658,1018,1021,602,556,622,1.11,46.63,1.06,47.95,2
1022,720,1022,1023,662,1023,1023,605,563,605,4.14,57.01,4.42,57.5,2
1021,1021,1022,1022,658,1022,1022,599,564,599,4.09,65.24,4.04,97.08,2
1023,659,1022,1022,654,1023,1023,597,554,615,6.75,33.49,6.83,33.76,2
1023,1023,1019,1022,655,1022,1022,607,565,630,0.54,228.15,0.63,227.53,2
1022,1022,1022,1023,653,1023,1023,594,553,621,7.11,94.19,6.96,95.78,2
1022,629,1022,1023,658,1023,1023,597,555,613,3.93,10.58,3.46,11,2
1018,613,1022,1022,651,1023,1023,598,555,612,2.16,19.31,2,19.4,2
1023,1020,1020,1022,655,1023,1023,619,1023,626,1.8,23.53,2.04,99.75,2
1023,1023,1020,1019,654,1020,1020,608,562,635,0.28,82.96,0.26,82.08,2
1022,1021,1022,1023,665,1023,1023,608,562,629,1.65,118.08,1.36,120.64,2
1022,667,1023,1021,665,1022,1023,600,558,615,6.87,21.76,7.1,21.19,2
1022,1022,1023,1023,658,1022,1022,603,561,609,3.8,25.8,9.04,18.5,2
1022,644,1022,1023,659,1023,1020,610,562,609,8.02,18.36,8.01,4.1,2
1022,1022,1022,1022,675,1023,1019,609,558,632,0.32,274.16,1.35,241.14,2
1023,640,1022,1022,660,1023,1023,608,557,613,0.16,58.03,12.58,58.11,2
1022,1022,1023,1023,660,1022,1023,620,569,611,0.3,78.22,0.52,51.77,2
1022,1022,1022,1023,715,1023,1023,679,608,629,1.64,42.89,1.11,52.26,3
1018,1021,1022,1023,849,1023,1023,819,1023,688,61.68,82.23,60.7,59.1,3
1022,1022,1023,1023,838,1023,1023,782,748,674,29.24,25.86,28.39,28.08,3
1023,1020,1022,1022,827,1023,1023,811,1023,707,12.28,91.1,11.9,91.33,3
1022,1023,1023,1023,802,1023,1023,804,1020,700,9.19,255.94,9.21,263.19,3
1022,1023,1023,1019,848,1022,1022,805,1023,704,0.88,46.67,0.28,9.3,3
1022,1022,1022,1023,839,1023,1022,753,682,648,27.09,145.31,27.57,152.44,3
1022,1023,1023,1022,860,1022,1022,805,1023,718,3.29,158.12,3.8,145.99,3
1022,1022,1022,1023,833,1023,1023,803,1023,690,8.09,51.78,8.34,53.69,3
1023,1023,1019,1022,834,1022,1023,799,1023,701,11.63,24.06,12.91,27.3,3
1022,1022,1022,1023,819,1023,1023,807,1023,700,9.07,126.24,9.09,0.55,3
1023,1022,1022,1021,763,1022,1022,805,1022,699,8.33,51.98,1.44,56.7,3
1022,1022,1022,1023,795,1023,1023,806,1022,700,2.14,113.74,2.02,152.29,3
1023,1018,1020,1022,810,1022,1022,713,1023,635,11.76,30,11.4,26.31,3
1022,1022,1022,1023,825,1023,1023,792,1018,692,16.12,47.08,16.01,51.5,3
1023,1022,1023,1023,851,1022,1022,816,1023,732,1.24,38.27,1.11,40.31,3
1022,1022,1023,1023,851,1023,1023,805,1021,715,2.02,116.65,2.76,113.86,3
1022,1023,1023,1023,787,1022,1022,800,1023,712,7.13,250.14,3,250.17,3
1022,1022,1022,1023,834,1023,1023,632,573,610,4.95,162.57,4.85,159.16,3
1023,1022,1023,1023,831,1022,1022,814,1023,726,4.5,75.63,0.26,62.37,3
1021,1022,1022,1022,820,1023,1023,625,577,623,8.52,34.94,7.95,67.41,3
1023,1022,1022,1023,784,1023,1023,731,661,665,15.55,56.91,15.46,61.13,3
1023,1022,1023,1023,844,1020,1022,740,656,658,1.62,93.72,2.13,80,3
1022,1022,1023,1023,848,1023,1023,776,722,668,7.02,6.48,7.81,8.48,3
1022,1022,1023,1023,819,1023,1023,809,1021,727,0.95,20.62,1.09,21.31,3
1020,1020,1022,1022,829,1023,1023,818,1023,719,1.47,136.83,1.28,131.5,3
1022,1022,1022,1023,821,1023,1023,807,1022,716,2.03,6.36,5.43,4.2,3
1022,1022,1023,1023,768,1023,1023,631,569,629,2.35,129.72,2.1,126.11,3
1023,1023,1020,1021,817,1022,1022,637,576,636,1.11,34.58,1.25,32.75,3
1022,1022,1023,1023,784,1020,1021,661,579,611,8.57,134.04,0.67,134.48,3
1022,1022,1023,1023,840,1022,1022,693,1019,636,14.92,41.27,10.85,53.53,4
1022,1022,1023,1022,847,1022,1022,792,1023,565,65.83,48.77,65.88,53.19,4
1020,1022,1022,1022,811,1023,1023,798,1022,562,11.05,163.14,10.97,80.61,4
1022,1022,1022,1022,811,1023,1023,778,1022,575,1.97,109.14,1.26,106.14,4
1022,1023,1023,1020,823,1022,1023,804,1023,575,32.27,236.16,32.22,230.32,4
1023,1019,1022,1022,759,1022,1023,796,1023,566,2.45,97.89,6.26,98.02,4
1022,1022,1022,1023,828,1019,1022,799,1022,589,0.96,44.47,1.47,45.35,4
1022,1022,1022,1022,830,1023,1023,803,1023,578,9.84,50.3,9.74,49.03,4
1022,1023,1020,1020,823,1022,1022,800,1023,572,16.08,26.45,16.06,25.5,4
1022,1022,1022,1022,820,1023,1023,795,1023,571,7.86,15.53,7.7,15.67,4
1023,1023,1021,1022,809,1023,1022,1023,1023,579,4.99,235.72,4.45,232.99,4
1022,1022,1022,1023,700,1023,1023,1023,1023,571,3.49,180.72,2.02,222.97,4
1022,1022,1015,1023,831,1023,1023,796,1022,570,5.82,69.55,2.56,66.04,4
1021,1022,1022,1022,822,1023,1023,774,1023,578,2.19,93.14,2.06,93.88,4
1022,1023,1023,1018,798,1022,1022,785,1023,565,0.98,48.98,1.35,52.73,4
1022,1022,1022,1022,808,1023,1023,782,1022,657,0.16,25.98,0.5,25.53,4
1017,1021,1022,1022,823,1022,1023,784,1023,578,1.43,62.91,1.54,78.08,4
1022,1022,1022,1023,825,1023,1023,786,1022,577,0.74,130.95,0.74,145.27,4
1022,1021,1022,1022,816,1022,1022,776,1023,603,1.58,5.68,1.49,4.25,4
1023,1018,1022,1022,774,1023,1023,768,1023,599,2.23,67.13,2.36,66.57,4
1022,1022,1022,1023,815,1020,1022,780,1022,570,8.56,7.73,8.75,5.23,4
1022,1021,1022,1022,782,1023,1019,779,1023,575,0.72,121.62,3.19,105.03,4
1023,1023,1020,1022,822,1022,1023,785,1023,568,1.21,3.96,1.86,5.47,4
1022,1022,1023,1020,815,1022,1022,766,1023,628,1.44,11.06,1.36,11.72,4
1022,1022,1022,1023,793,1023,1023,721,1022,609,9.79,250.18,9.23,248.23,4
1022,1023,1023,1021,831,1022,1022,745,1023,586,0.46,102.41,1.29,102.85,4
1021,1021,1022,1022,827,1023,1023,779,1023,580,1.49,24.14,1,24.21,4
1023,1022,1023,1022,835,1023,1022,789,1023,575,9.8,5.16,9.72,5.09,4
1022,1023,1018,1020,829,1022,1022,790,1023,575,7.83,9.29,7.81,8.41,4
1022,1022,1023,1018,826,1022,1022,791,1023,561,1.02,81.69,1.19,85.02,4
1021,1022,1020,1021,823,1022,1021,683,722,653,0.27,20.96,1.54,22.92,5
1022,1022,1023,1023,809,1021,1022,582,576,703,25.61,32.5,26.05,21.61,5
1022,1022,1022,1022,773,1022,1022,590,573,685,27.21,61.78,23.95,65.06,5
1022,1022,1023,1023,776,1022,1022,587,582,697,7.33,102.67,8.03,100.62,5
1022,664,1022,1022,806,1023,1023,589,580,681,16.08,52.01,16.1,34.66,5
1022,653,1023,1019,823,1022,1022,591,575,679,7.76,40.23,6.24,33.54,5
1023,647,1023,1023,808,1023,1022,587,572,694,10.52,71.54,10.61,71.27,5
1022,1022,1022,1023,807,1023,1022,589,566,658,37.58,262.94,39.69,255.7,5
1022,1023,1023,1023,805,1023,1020,585,564,692,31.15,26.97,31.47,13.21,5
1023,1020,1022,1022,800,1023,1022,598,588,686,85.91,121.15,88.78,110.58,5
1022,1023,1023,1023,705,1023,1023,589,579,672,10.83,137,10.27,137.38,5
1023,1023,1023,1023,708,1023,1023,586,569,693,27.17,102.6,26.57,101.04,5
1023,1023,1013,1019,814,1018,1021,601,1022,688,31,40.9,21.26,41.79,5
1023,1018,1021,1022,816,1022,1022,603,574,666,15.62,194.28,15.76,230.08,5
1022,1022,1023,1023,711,1023,1022,608,669,686,2.11,125.19,2.46,123.22,5
1022,1023,1023,1023,764,1021,1022,632,635,675,65.13,212.94,64.62,214.36,5
1023,662,1019,1023,699,1023,1022,583,581,694,7.45,67.64,7.18,69.23,5
1023,1023,1023,1023,723,1022,1022,615,602,667,1.03,321.56,1.26,321.65,5
1022,652,1022,1023,795,1023,1023,616,588,649,23.06,76.22,23.1,77.93,5
1023,1023,1023,1019,727,1022,1023,596,583,678,26.07,35.89,26.65,37.21,5
