F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1023,1023,1023,1023,720,1023,1023,680,1023,642, 28.17,165.48,27.21,163.67
1023,1023,1023,1023,717,1023,1022,794,799,603, 12.30,190.68,12.45,192.33
1023,1023,1023,1023,714,1023,1023,903,600,599, 7.68,172.98,7.82,173.94
1023,1023,1023,1023,859,1023,1023,761,1019,647, 1.84,65.97,1.96,59.87
1023,1022,1022,1022,735,1022,1022,768,588,582, 1.07,63.29,1.16,63.65
1023,1023,1023,1023,732,1022,1022,760,585,591, 51.96,17.81,51.70,15.49
1022,1022,1023,1023,730,1023,1023,766,600,582, 1.97,49.63,1.92,48.78
1023,1023,1022,1022,729,1022,1023,758,599,588, 6.84,147.34,6.96,145.00
1023,1023,1023,1023,729,1023,1023,768,1021,685, 3.44,127.34,3.46,124.97
1023,1023,1023,1022,730,1022,1022,1023,625,627, 9.05,38.44,9.10,38.82
1022,1023,1023,1023,729,1023,1023,770,588,586, 7.42,100.68,7.25,104.14
1023,1023,1020,1022,729,1022,1023,755,1023,681, 4.09,113.78,3.54,108.35
1022,1023,1023,1023,729,1023,1022,761,577,582, 4.62,47.23,4.80,46.31
1020,1021,1022,1022,729,1023,1023,753,1023,672, 9.80,117.11,10.36,117.01
1022,1022,1022,1022,729,1022,1023,741,573,615, 4.58,117.72,4.44,125.07
1022,1023,1023,1020,728,1022,1022,754,585,596, 2.67,13.14,2.90,12.80
1022,1023,1023,1023,729,1023,1020,758,595,610, 8.37,28.29,7.90,28.12
1023,1023,1023,1023,728,1023,1023,763,582,579, 11.78,8.31,12.23,7.14
1019,1022,1022,1022,728,1023,1023,773,621,609, 0.32,152.48,0.07,153.82
1023,1023,1023,1023,728,1023,1019,753,859,628, 10.81,199.91,10.28,199.32
1023,1023,1023,1019,727,1022,1022,749,1023,659, 6.37,102.54,3.37,100.78
1018,638,1022,1022,845,1023,1023,749,1016,662, 25.97,45.77,26.08,44.49
1023,1023,1023,1023,833,1020,1022,745,1023,643, 11.95,14.94,12.32,14.15
1023,1022,1022,1022,820,1023,1023,742,1023,642, 14.58,17.31,15.72,13.09
1022,719,1023,1023,812,1023,1023,740,1021,642, 6.30,18.25,6.23,18.73
1021,1022,1022,1023,811,1023,1023,742,1023,643, 6.96,21.55,6.97,21.45
1023,684,1023,1023,780,1022,1022,742,1023,641, 4.45,57.90,4.03,67.70
1023,1023,1023,1023,835,1023,1023,741,1023,642, 2.62,52.95,3.12,52.63
1022,1022,1022,1023,766,1023,1023,741,1023,642, 2.41,77.75,1.96,79.47
1023,1023,1023,1023,748,1022,1022,748,585,594, 1.47,12.44,1.75,13.22
