F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,741,1023,1023,690,1022,1022,604,572,635, 34.96,127.25,44.92,126.40
1022,656,1022,1022,655,1023,1023,588,558,611, 2.93,69.47,2.98,68.96
1022,1022,1023,1023,680,1023,1023,598,578,633, 31.46,107.69,30.47,101.23
1022,651,1022,1023,663,1023,1023,596,563,623, 20.60,15.59,20.41,16.46
1017,644,1022,1022,675,1023,1023,601,564,639, 10.06,54.29,10.77,46.83
1022,1022,1023,1023,658,1022,1022,590,551,619, 8.31,78.16,8.39,53.97
1022,1022,1022,1022,653,1023,1019,592,551,614, 13.62,77.53,13.81,73.11
1018,1021,1022,1022,655,1023,1022,597,561,623, 4.26,182.05,1.59,178.55
1022,1022,1022,1023,655,1023,1023,599,562,629, 14.60,80.18,15.40,43.18
1020,656,1022,1022,654,1023,1023,593,552,619, 10.14,18.06,11.51,27.68
1022,685,1022,1023,654,1020,1022,598,552,618, 1.34,47.83,1.94,51.12
1022,619,1022,1023,659,1023,1019,597,556,622, 89.15,117.95,136.64,129.16
1023,679,1023,1019,660,1022,1022,598,552,618, 9.33,15.96,10.26,16.01
1022,1022,1022,1023,658,1018,1021,602,556,622, 1.11,46.63,1.06,47.95
1022,720,1022,1023,662,1023,1023,605,563,605, 4.14,57.01,4.42,57.50
1021,1021,1022,1022,658,1022,1022,599,564,599, 4.09,65.24,4.04,97.08
1023,659,1022,1022,654,1023,1023,597,554,615, 6.75,33.49,6.83,33.76
1023,1023,1019,1022,655,1022,1022,607,565,630, 0.54,228.15,0.63,227.53
1022,1022,1022,1023,653,1023,1023,594,553,621, 7.11,94.19,6.96,95.78
1022,629,1022,1023,658,1023,1023,597,555,613, 3.93,10.58,3.46,11.00
1018,613,1022,1022,651,1023,1023,598,555,612, 2.16,19.31,2.00,19.40
1023,1020,1020,1022,655,1023,1023,619,1023,626, 1.80,23.53,2.04,99.75
1023,1023,1020,1019,654,1020,1020,608,562,635, 0.28,82.96,0.26,82.08
1022,1021,1022,1023,665,1023,1023,608,562,629, 1.65,118.08,1.36,120.64
1022,667,1023,1021,665,1022,1023,600,558,615, 6.87,21.76,7.10,21.19
1022,1022,1023,1023,658,1022,1022,603,561,609, 3.80,25.80,9.04,18.50
1022,644,1022,1023,659,1023,1020,610,562,609, 8.02,18.36,8.01,4.10
1022,1022,1022,1022,675,1023,1019,609,558,632, 0.32,274.16,1.35,241.14
1023,640,1022,1022,660,1023,1023,608,557,613, 0.16,58.03,12.58,58.11
1022,1022,1023,1023,660,1022,1023,620,569,611, 0.30,78.22,0.52,51.77
