F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,1022,1022,1023,715,1023,1023,679,608,629, 1.64,42.89,1.11,52.26
1018,1021,1022,1023,849,1023,1023,819,1023,688, 61.68,82.23,60.70,59.10
1022,1022,1023,1023,838,1023,1023,782,748,674, 29.24,25.86,28.39,28.08
1023,1020,1022,1022,827,1023,1023,811,1023,707, 12.28,91.10,11.90,91.33
1022,1023,1023,1023,802,1023,1023,804,1020,700, 9.19,255.94,9.21,263.19
1022,1023,1023,1019,848,1022,1022,805,1023,704, 0.88,46.67,0.28,9.30
1022,1022,1022,1023,839,1023,1022,753,682,648, 27.09,145.31,27.57,152.44
1022,1023,1023,1022,860,1022,1022,805,1023,718, 3.29,158.12,3.80,145.99
1022,1022,1022,1023,833,1023,1023,803,1023,690, 8.09,51.78,8.34,53.69
1023,1023,1019,1022,834,1022,1023,799,1023,701, 11.63,24.06,12.91,27.30
1022,1022,1022,1023,819,1023,1023,807,1023,700, 9.07,126.24,9.09,0.55
1023,1022,1022,1021,763,1022,1022,805,1022,699, 8.33,51.98,1.44,56.70
1022,1022,1022,1023,795,1023,1023,806,1022,700, 2.14,113.74,2.02,152.29
1023,1018,1020,1022,810,1022,1022,713,1023,635, 11.76,30.00,11.40,26.31
1022,1022,1022,1023,825,1023,1023,792,1018,692, 16.12,47.08,16.01,51.50
1023,1022,1023,1023,851,1022,1022,816,1023,732, 1.24,38.27,1.11,40.31
1022,1022,1023,1023,851,1023,1023,805,1021,715, 2.02,116.65,2.76,113.86
1022,1023,1023,1023,787,1022,1022,800,1023,712, 7.13,250.14,3.00,250.17
1022,1022,1022,1023,834,1023,1023,632,573,610, 4.95,162.57,4.85,159.16
1023,1022,1023,1023,831,1022,1022,814,1023,726, 4.50,75.63,0.26,62.37
1021,1022,1022,1022,820,1023,1023,625,577,623, 8.52,34.94,7.95,67.41
1023,1022,1022,1023,784,1023,1023,731,661,665, 15.55,56.91,15.46,61.13
1023,1022,1023,1023,844,1020,1022,740,656,658, 1.62,93.72,2.13,80.00
1022,1022,1023,1023,848,1023,1023,776,722,668, 7.02,6.48,7.81,8.48
1022,1022,1023,1023,819,1023,1023,809,1021,727, 0.95,20.62,1.09,21.31
1020,1020,1022,1022,829,1023,1023,818,1023,719, 1.47,136.83,1.28,131.50
1022,1022,1022,1023,821,1023,1023,807,1022,716, 2.03,6.36,5.43,4.20
1022,1022,1023,1023,768,1023,1023,631,569,629, 2.35,129.72,2.10,126.11
1023,1023,1020,1021,817,1022,1022,637,576,636, 1.11,34.58,1.25,32.75
1022,1022,1023,1023,784,1020,1021,661,579,611, 8.57,134.04,0.67,134.48
