F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,1022,1023,1022,694,1022,1022,812,579,718, 8.72,49.17,8.64,38.62
1022,1022,1023,1023,694,1023,1019,735,575,616, 7.65,156.47,7.76,161.65
1017,1021,1022,1022,693,1022,1022,789,565,688, 10.64,6.65,10.48,13.73
1023,705,1018,1023,694,1022,1021,812,568,712, 71.70,16.20,31.62,23.64
1021,712,1022,1022,692,1022,1022,799,565,710, 2.42,32.50,2.19,31.53
1022,670,1022,1023,683,1023,1022,1023,569,654, 2.46,26.18,4.28,25.92
1023,627,1021,1022,728,1022,1022,808,569,730, 13.85,15.67,15.81,16.49
1023,664,1023,1023,855,1023,1022,799,563,726, 5.91,48.98,4.04,58.06
1022,1023,1023,1023,727,1023,1023,811,571,729, 13.22,46.90,7.98,42.75
1020,1022,1022,1022,721,1022,1022,779,558,617, 9.22,353.75,9.19,353.75
1022,638,1023,1023,738,1023,1020,789,563,679, 13.24,93.19,13.31,103.75
1018,632,1022,1023,684,1022,1022,789,563,677, 14.27,4.58,13.76,1.47
1023,1023,1020,1022,673,1022,1023,802,565,735, 0.78,15.06,1.27,11.32
1022,663,1023,1023,669,1023,1022,643,554,641, 5.57,12.42,5.58,9.99
1022,1023,1023,1023,656,1021,1022,768,554,600, 11.13,83.65,10.71,80.40
1022,651,1023,1023,657,656,1023,1023,556,636, 10.13,93.99,10.84,104.51
1023,655,1023,1023,661,1022,1022,807,563,679, 9.50,201.98,9.51,202.04
1022,648,1022,1023,658,1023,1023,1023,557,640, 1.24,7.86,1.13,8.89
1022,675,1022,1022,687,1023,1023,1023,564,669, 3.19,250.20,2.06,250.29
1022,681,1020,1021,654,1022,1022,804,567,639, 4.46,94.14,4.10,88.51
1022,687,1023,1023,676,1021,1022,793,564,710, 1.71,16.82,1.54,29.25
1022,681,1023,1023,677,1022,1022,786,557,634, 7.50,84.17,7.44,74.30
1022,691,1023,1023,672,1023,1023,803,564,701, 2.67,6.43,2.61,6.29
1022,684,1023,1023,671,1023,1023,798,563,668, 2.79,95.02,2.58,102.88
1022,655,1022,1023,669,1023,1023,791,566,720, 12.17,19.49,12.20,17.98
1023,648,1022,1022,669,1023,1023,777,567,672, 7.92,70.46,8.21,70.87
1023,667,1023,1023,670,1022,1022,789,565,724, 17.71,8.40,16.62,8.38
1022,669,1023,1023,675,1022,1022,780,566,702, 58.98,8.27,47.57,6.59
1023,672,1023,1023,675,1019,1022,751,564,636, 8.40,172.51,7.95,168.54
1023,663,1023,1023,668,1023,1023,768,562,644, 3.01,5.64,2.70,6.14
