F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1020,1022,1022,1022,740,1023,1023,791,628,691, 3.18,15.62,0.91,14.02
1023,1023,1023,1019,734,1022,1022,782,628,685, 6.80,19.09,6.96,13.34
1022,1023,1023,1023,730,1022,1023,778,602,683, 10.85,44.07,10.54,39.19
1022,1022,1022,1022,719,1022,1023,775,600,689, 2.75,4.74,2.92,6.66
1022,1022,1022,1023,716,1022,1023,774,1023,689, 17.01,123.64,16.87,123.40
1022,1022,1023,1023,717,1022,1023,775,611,685, 17.78,60.33,17.79,58.57
1022,1023,1023,1022,844,1022,1022,769,596,685, 6.53,56.10,4.93,57.05
1023,1023,1023,1023,838,1022,1023,768,593,683, 2.47,127.70,3.09,132.42
1017,1021,1022,1022,757,1023,1023,771,1012,670, 3.57,156.58,3.87,166.64
1022,1022,1022,1023,747,1023,1023,771,1022,685, 1.50,12.65,2.61,18.81
1021,1022,1022,1022,747,1022,1022,769,632,686, 13.83,3.25,15.79,5.26
1023,1023,1023,1022,747,1022,1022,767,592,698, 6.04,17.05,5.53,22.48
1022,1022,1022,1023,745,1022,1022,768,640,709, 3.43,93.79,3.59,93.80
1022,1022,1022,1022,747,1023,1020,766,592,705, 16.69,40.27,17.56,40.87
1020,1021,1022,1022,826,1022,1022,765,630,690, 25.67,66.02,25.25,125.32
1022,1022,1023,1023,818,1023,1023,764,620,687, 2.81,99.55,3.76,97.73
1022,1022,1022,1023,814,1023,1023,764,624,685, 7.88,79.63,7.86,81.52
1023,1022,1022,1022,802,1022,1022,765,616,695, 28.34,101.19,28.67,99.44
1022,1022,1022,1022,726,1022,1023,761,624,692, 3.41,60.14,3.03,63.05
1022,1022,1022,1022,731,1022,1022,762,591,690, 9.57,47.00,9.23,48.39
1023,1023,1021,1022,732,1023,1023,763,604,685, 15.60,61.96,15.37,69.60
1022,1023,1023,1023,842,1023,1020,760,618,688, 1.27,103.63,0.60,94.70
1021,1022,1022,1022,816,1023,1023,760,615,689, 8.08,50.39,8.70,48.00
1023,1023,1022,1022,803,1022,1023,760,616,686, 6.99,70.34,6.86,70.81
1022,1023,1023,1023,799,1022,1022,760,616,686, 7.40,31.78,7.25,31.91
1022,1022,1023,1023,798,1023,1023,757,615,685, 6.70,79.61,6.18,81.12
1022,1022,1022,1023,798,1023,1023,759,619,686, 7.35,55.37,7.31,50.85
1023,1023,1020,1022,783,1023,1023,759,608,686, 6.94,52.80,7.08,51.29
1022,1022,1023,1023,766,1022,1022,757,594,683, 11.89,101.20,11.79,101.65
1023,1018,1021,1022,763,1022,1022,760,633,690, 2.64,103.58,2.74,101.79
