F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1021,1022,1020,1021,823,1022,1021,683,722,653, 0.27,20.96,1.54,22.92
1022,1022,1023,1023,809,1021,1022,582,576,703, 25.61,32.50,26.05,21.61
1022,1022,1022,1022,773,1022,1022,590,573,685, 27.21,61.78,23.95,65.06
1022,1022,1023,1023,776,1022,1022,587,582,697, 7.33,102.67,8.03,100.62
1022,664,1022,1022,806,1023,1023,589,580,681, 16.08,52.01,16.10,34.66
1022,653,1023,1019,823,1022,1022,591,575,679, 7.76,40.23,6.24,33.54
1023,647,1023,1023,808,1023,1022,587,572,694, 10.52,71.54,10.61,71.27
1022,1022,1022,1023,807,1023,1022,589,566,658, 37.58,262.94,39.69,255.70
1022,1023,1023,1023,805,1023,1020,585,564,692, 31.15,26.97,31.47,13.21
1023,1020,1022,1022,800,1023,1022,598,588,686, 85.91,121.15,88.78,110.58
1022,1023,1023,1023,705,1023,1023,589,579,672, 10.83,137.00,10.27,137.38
1023,1023,1023,1023,708,1023,1023,586,569,693, 27.17,102.60,26.57,101.04
1023,1023,1013,1019,814,1018,1021,601,1022,688, 31.00,40.90,21.26,41.79
1023,1018,1021,1022,816,1022,1022,603,574,666, 15.62,194.28,15.76,230.08
1022,1022,1023,1023,711,1023,1022,608,669,686, 2.11,125.19,2.46,123.22
1022,1023,1023,1023,764,1021,1022,632,635,675, 65.13,212.94,64.62,214.36
1023,662,1019,1023,699,1023,1022,583,581,694, 7.45,67.64,7.18,69.23
1023,1023,1023,1023,723,1022,1022,615,602,667, 1.03,321.56,1.26,321.65
1022,652,1022,1023,795,1023,1023,616,588,649, 23.06,76.22,23.10,77.93
1023,1023,1023,1019,727,1022,1023,596,583,678, 26.07,35.89,26.65,37.21
1022,1022,1023,1023,725,1023,1023,585,564,667, 4.21,126.47,4.19,120.67
1023,647,1023,1020,833,1022,1023,599,566,675, 0.77,37.47,0.60,36.21
1023,1023,1023,1023,707,1019,1022,588,566,677, 11.87,45.67,11.60,47.18
1019,1022,1022,1022,711,1023,1023,600,605,675, 40.67,16.64,39.12,16.52
1023,1023,1023,1023,849,1022,1022,599,582,675, 24.66,243.91,22.89,242.36
1023,1023,1023,1020,715,1022,1023,598,596,694, 36.09,1.53,40.92,0.61
1022,1023,1023,1023,709,1023,1018,598,588,688, 58.12,10.77,57.19,14.08
1023,1023,1022,1023,836,1023,1023,605,605,675, 1.14,238.83,1.39,228.70
1023,1023,1023,1023,786,1023,1023,627,618,667, 12.75,177.59,12.33,179.05
1023,1023,1023,1023,704,1023,1022,604,587,688, 2.47,10.74,2.90,4.28
