F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4
1022,1022,1022,1023,682,1023,1023,655,624,641, 48.31,257.51,47.03,259.66
1022,1023,1023,1023,704,1023,1023,1016,710,649, 19.14,250.15,19.66,250.14
1022,1023,1023,1023,685,1023,1020,844,599,639, 4.38,35.18,4.81,37.29
1022,1023,1023,1023,695,1023,1023,636,667,648, 2.97,77.02,3.25,80.89
1023,1023,1023,1023,694,1023,1023,648,605,638, 13.41,76.01,13.20,70.46
1022,1023,1023,1022,689,1023,1023,653,595,639, 21.80,224.18,22.24,223.87
1022,1023,1023,1023,696,1021,1022,638,653,631, 3.63,269.15,3.64,269.20
1021,1022,1022,1023,716,1023,1023,646,667,635, 17.09,200.67,17.27,201.49
1023,1022,1022,1023,701,1023,1023,629,596,632, 51.37,45.74,52.02,11.51
1023,1023,1021,1022,697,1023,1022,644,599,636, 1.94,274.24,1.95,253.21
1022,1022,1023,1023,709,1023,1023,655,684,622, 1.21,1.95,1.29,2.45
1022,1022,1022,1023,703,1023,1023,683,607,638, 1.99,31.43,2.05,4.25
1020,1022,1022,1023,699,1023,1023,651,607,639, 2.10,250.09,2.37,173.85
1022,1022,1023,1023,693,1019,1022,645,1022,634, 3.26,275.00,3.58,274.60
1023,1023,1022,1022,699,1023,1022,640,602,632, 2.17,133.34,2.43,130.36
1022,1022,1023,1023,709,1023,1019,646,602,634, 0.33,115.02,0.24,106.58
1023,1023,1023,1023,697,1023,1022,650,616,633, 2.03,267.81,2.41,269.37
1022,1022,1023,1023,702,1023,1022,649,669,629, 1.64,32.06,1.81,33.58
1021,1022,1022,1023,704,1023,1023,653,735,632, 15.60,250.34,15.15,240.78
1020,1022,1021,1022,694,1023,1020,649,611,636, 6.96,66.58,7.67,94.49
1021,1022,1022,1023,695,1023,1023,660,620,642, 14.96,20.39,14.89,24.42
1022,1022,1023,1023,695,1023,1022,666,613,638, 4.61,6.10,3.07,17.77
1022,1022,1022,1023,710,1021,1023,655,612,633, 1.49,256.89,1.53,125.81
1022,1022,1022,1023,701,1023,1023,647,731,633, 2.23,191.04,1.72,196.17
1022,1022,1022,1023,704,1019,1022,658,628,632, 9.58,200.56,9.75,195.47
1018,1022,1022,1023,714,1023,1023,660,609,638, 2.34,358.21,2.96,351.50
1022,1022,1022,1023,715,1022,1022,654,618,634, 8.10,191.85,7.16,239.13
1021,1022,1022,1022,711,1023,1023,846,638,641, 7.40,61.32,7.29,55.31
1022,1023,1022,1022,710,1023,1022,664,709,631, 0.73,192.69,2.82,188.85
1022,1022,1022,1023,707,1023,1023,653,587,636, 1.94,136.59,0.75,133.50
